Term [en];Term [ru];Description [en];Description [ru]
;приложение на Tarantool Cartridge;;Если без предлога, то теряется  смысл: читается так, как будто Tarantool Cartridge — это название приложения. А это не так. 
Tarantool Cartridge application;Tarantool Cartridge — это фреймворк;;" на базе которого можно разработать свое приложение."""
Cartridge;Cartridge;;
production environment;производственная среда;Production environment is a term used mostly by developers to describe the setting where software and other products are actually put into operation for their intended uses by end users.;
failover;восстановление после сбоев;In computing and related technologies such as networking, failover is switching to a redundant or standby computer server, system, hardware component or network upon the failure or abnormal termination of the previously active application, server, system, hardware component, or network.;
replicaset;набор реплик;;
directory;директория;;
bucket;сегмент;;
check;выберите, выбрать;To select a checkbox;
